Id;Non Conformance Title;Classification;Pending Steps;Case Worker;Status;Registration Time;Registered By;Reoccurrence;Completed On;Impact Other;Investigation summary;Impact Assessment;Root cause description;Classification justification;Segregation of product;Discarded product;Started new production;Repeated operation/analysis
222;"Instrument FACS Calibur failed during analysis of samples";High risk;;Virginie Follin-Arbelet;Completed;23/11/2023 04:44 PM;Virginie Follin-Arbelet;YES;26/01/2024 05:39 PM;;"Instrument failed during IPC flow cytometer analysis due to drift in the FSC/SSC settings that is likely due to sheath fluid contaminated sheath fluid. Contaminants in the sheath fluid can impact the FSCSSC results and drift would be observed if the sheath fluid contaminants are not homogenously resuspended. The las bit of sheath fluid was used from a tank/reservoir that was not washed regularly. A new flow analysis with Calibur using water as sheath fluid showed no drift in FSC/SSC (performed as part of investigation) confirming the hpothesis.   Re-analysis of the fraction was performed on 16.01.2024. No drift in FSC and SSC observed.";"The instrument serves as an in-process control (IPC) tool for selecting fractions to be pooled in the preparation of the product. Additionally, it plays a crucial role in the quality control (QC) release of the final product. The results obtained from this flow cytometry analysis performed on the 21.11.2023 are dismissed as a consequence of this deviation.Fractions were re-analysed on the 16.01.2024 after identifying the likely root cause. Fractions were selected based on the re-analysis, and the final product was prepared. QC was performed and passed all acceptance criteria. Therefore, this deviation does not have an impact on product quality.  External timelines remain unaffected, as the product is still scheduled for delivery within the agreed-upon timeframe with the customer (end of January).";"The observed drift in FSC/SSC scatter, affecting accurate cell population gating, is likely attributed to potential contaminants inside the sheath fluid. These contaminants may originate from factors like prolonged storage of the FACS flow solution, posing a risk of microbial growth, and the potential accumulation of salt on the faucet's tip. ";"Results from flow is required to perform selection of fractions to prepare the product. Analysis is also used for QC released ";;;;
223;"Reference batch used in SDS684 not suitable for quality control";Low risk;;;Completed;24/11/2023 01:12 PM;Elias Veidal;NO;15/12/2023 10:22 AM;;"";;;"Product performs according to the requirements of product specification and SOP1066 Version 3.0, this deviation does not reflect product quality. ";;;;True
224;"Samples analysed in singles rather than duplicates in MYCO176";Low risk;;;Completed;24/11/2023 03:05 PM;Elias Veidal;NO;01/01/2024 09:37 PM;;;;;"Results from MYCO176 (Ref: Attachment 1) are negative and the clone has since been tested negative again as MYCO184 (Ref: Attachment 2) in connection with cellbanking.";;;;False
225;"Wrong batch was reported in NC134";Low risk;;;Completed;28/11/2023 03:00 PM;Gro Stokke;NO;01/12/2023 01:06 PM;;;;;"The correct batch number was used in NC134, and the correct NC number was referenced in the batch B8529 documentation.  The NC134 was fully investigated before the batch was released r (no impact on product quality). ";;;;
226;"Technical requirements not fulfilled in isotyping of clones 581, 72-5A4 and 356";High risk;;Joakim Sørgård;Completed;28/11/2023 03:17 PM;Gro Stokke;NO;07/11/2024 06:56 PM;;"All technical aspects of the worksheets were reviewed and approved. Training, maintenance, and calibration were verified in this investigation. Re-testing was performed for all the deviating clones, with the same results. Contamination was deemed improbable due to results of re-test and procedure for handling sample. Three potential causes remained including host serum immunoglobulins, test cross-reactivity or non-monoclonal hybridomas. Neither of which could be verified. The Pierce kit was determined to be less fit or use and its method will be replaced. Supplier complaint will be initated.";"The production timeline of cellbank project 2023-34 has seen a delay due to the investigation of this non-conformance. There is no impact on product quality, as the reported out-of-specification (OOS) results were not confirmed and were found to be due to nonspecific binding with the Thermo Fisher assay used. All cell banks in question were tested using the Roche IsoStrip and the Bio-Rad Mouse Monoclonal Antibody Isotyping Test Kit. Specifications were met when two different assays were used, and no secondary nonspecific bands were present in these tests. Refer to the full investigation in DEV166 Repor.";"The recent rise in multiple band occurrences across several cell banks/products suggests that the current isotyping method may not be robust enough for the samples tested. Tesing with 2 differnt comercial kits, and several comercial and in house clones, demostrated that Thermo Scientific™ Pierce Rapid Antibody Isotyping Kit is not suitable and can produce unriable results. Refer to report from feasibility study DEV 166. ";"This non-conformance is directly correlated to the product quality. All for the cell banks produced (2023-34, 2023-38, 2023-41) and for future production with these clones is affected by these isotope results.";;;;True
227;"Incomplete information on MCB3 vials label of 581";High risk;;Elias Veidal;Completed;30/11/2023 07:09 AM;Yngve Ness;YES;29/02/2024 10:16 PM;;"A root cause analysis was performed evaluating people, equipment, documentation, materials and process. It was concluded that non conformance could be considered a consequence of insufficient training of operators and a suboptimal process.";"Re-labeling of frozen cryovials will put the cells at risk, since it requires thawing. Therefore no re-labeling will be executed.  To mitigate the risk of the missing information was commented in internal cell stock registry.  Apart from the lack of information there is no impact on product quality nor production timeline.";"As established in the investigation the main root cause of this non-conformance is considered to be System/Process. This is supported by recurrence with similar deviation. More specifically, the lack of reinforcement under a critical step of the process. CAPA168 has already been initiated to prevent errors on product vials. CAPA181 will therefore be raised to extend this preventative measure to include cellbank vials.  In addition, the operators who executed the procedure lack experience and seem to have received suboptimal training. Therefore, People/Human error is considered i potential contributing cause. The current subject matter expert will review the training module used before operators YNE and JSS  will receive additional training in this procedure in accordance with CAPA197.";"Non-compliance with procedure SOP0002 Version 2.0, Section 9.4 for project 2023-38 and 2023-44 cellbanks. A significant incompliance issue with customer agreements (Quality Agreement, Product Specification etc.)";;;;
228;"Monthly cleaning of CO2 incubator DIA169 not performed on time";Low risk;;Axmee Regmi;Completed;30/11/2023 12:51 PM;Axmee Regmi;YES;10/01/2024 05:37 PM;;"Monthly maintenance of CO2 incubator DIA169 was not performed due to inexperience of operator with cleanroom routines. ";"No impact on production as the chance for infection is low, bioreactors and cell flasks are equipped with filters, and both flasks and shelves are frequently wiped with ethanol. Incubator is located in cleanroom. No incidence of infection in any of the CL1000s has been detected.";"Root cause is determined to be inexperience of operator with the current routines";"Low likelihood of impact on production as the chance for infection is low, bioreactors and cell flasks are equipped with filters, and both flasks and shelfs are frequently wiped with ethanol. Incubator is located in cleanroom. No incidence of infection in the CL1000s has been detected to the date of 09.01.2024.";;;;
229;"Wrong QC samples used for mycoplasmatesting of clones 86-11 and 86-14";Low risk;;;Completed;01/12/2023 03:18 PM;Elias Veidal;NO;08/01/2024 06:56 PM;;;;;"The QC samples used for MYCO186 were handled aseptically and was not compromised. The same samples could therefore still be used for QC ELISA. The Mycoplasma test was repeated successfully in MYCO187 with the correct samples stored in -20 °C. Therefore, this non-conformance has no impact on product quality or production timeline.";;;;True
230;"ELISA analysis failed due to lack of reference curve";Low risk;;Joakim Sørgård;Completed;05/12/2023 02:00 PM;Joakim Sørgård;YES;11/01/2024 10:23 AM;;"ELISA run E6397 did not have a measurable standard reference curve. This could be the result of a mixup of the reference standard sample, or lack of pipetting the standard reference sample. The results from this ELISA were not critical information thus no repeat analysis was performed. ";"The production batch tested, B8725-27, had already been analysed with ELISA during previous harvests (H2 and H5) giving valid results. The information gained from testing H5 and H10 would not change production timeline as the production units had already been ended at the time of this analysis.  This is just an in process control test, not producing any final information regarding the product from these production batches.  There is no impact to product quality. ";"Probably a small distraction during sample titration or sample dilution process. ";"The production was already finished and earlier ELISA result was available from H2 and H5 for estimation of antibody yield during purification (E6378). This NC does not impact product quality as it was an in process control, and it does not impact production timeline as the production was already terminated as scheduled. ELISA E6397 was run for information only.";;;;
231;"Insufficient volume aliquot for QC analysis.";Low risk;;;Completed;08/12/2023 02:01 PM;Joakim Sørgård;NO;23/01/2024 06:43 PM;;;;;"No QC tests have been impacted by lack of sample. The smaller volume does not change nor impact the quality of the samples for any QC tests. ";;;;
232;"Suspected infection in CL1000 unit for 1A12/1/4 batch B8715";Low risk;;;Completed;12/12/2023 02:26 PM;Joakim Sørgård;NO;23/05/2024 01:27 PM;;;;;"The flask was removed at harvest 14 and the production was intended to be ended at harvest 17. The amount of crude lost would be about ~100 mL. As we are contiuously producing a lot of 1A12/1/4, this loss has no impact on the production timeline and expectations. The results from QC services were negative for any bacterial or fungal growth, there are thus no risk of impact to it or any other production units. ";True;True;;
233;"Reference batch used for ELISA analysis had different subtype of Isotype from sample tested";Low risk;;;Completed;12/12/2023 03:08 PM;Joakim Sørgård;NO;15/12/2023 09:55 AM;;;;;"The analysis is a in-process control and its results is used to calculate the expected yield of each production. Since production was a test production and ended as planned, the deviation has no impact on production timeline or product quality.";;;;
234;"EC error rate exceeded for ASM production B8731";High risk;;Yngve Ness;Completed;19/12/2023 11:07 AM;Yngve Ness;NO;14/03/2024 04:18 PM;;"Alarm for exceeded EC volume triggered before working hours 19.12.2023 due to buildup of cells. Cell removal procedure performed at 20.12.2023 to reduce buildup.";"The product quality of harvest 4 and onward does not suffer any impact due to this NC as can be seen in in-process parameters being within expected values.  If the EC volume had reached the filter and entered the instrument, it could have severe consequences for the machinery. This could not have happened as the filter was confirmed untouched by visual inspection, the medium has a distinct pink colour and would be easily visible.";"Cell debris buildup inside the inner pipe in EC chamber triggered this alarm, as UCUS99.05 clone is known to grow quickly and clog the EC chamber and/or bioreactors. The cell debris buildup in EC chamber is unavoidable, as cells grow exponentially. Therefore the root cause is considered to be material (cell bank).";"Impacts production rate and cell proliferation. possible impact to product quality needs to be investigated.";;;;
235;"Cell membrane leakage from CL1000 production units";High risk;;Joakim Sørgård;Completed;29/12/2023 12:43 PM;Joakim Sørgård;YES;13/05/2024 09:49 AM;;"Leakage of cell chamber within CL1000 units B8743 for NGAL-1-2322-455 and B8746-7 for NGAL-1-903-430 discovered after and during outer medium exchange of harvests 3 and 5 respectively. The remaining bioreactors for NGAL-1-2322-955 will be sufficient for the production output expected by project 2023-31, while new NGAL-1-903-430 cells was thawed and inoculated for production.";"No impact to product quality. Harvest 4 and 5 from the identified leaking CL1000 units will be stored for use in realization of product. Production timeline for project 2023-32 may become slightly delayed due to the needed restart of production. ";"Issues with the CL1000 bioreactors have been seen to occur several times the last year. ";"B8746-47 were the only two CL1000 units in production for NGAL 1-903-430, forcing the immediate startup of new cells for new production units to meet production timeline. Re-occurrence. ";;;True;
236;"AcuSyst Maximizer for production B8731 had medium temperature under set point.";Low risk;;;Completed;02/01/2024 12:20 PM;Joakim Sørgård;NO;21/02/2024 12:22 PM;;;;;"The hybridoma cells do not die at 33.5°C. The cells may proliferate slower, but based on ELISA results before and after the event, the productivity of the bioreactor did not change. Product quality is not affected, nor is the production timeline. ";;;;
237;"AcuSyst Maximizer Stopped cycling";High risk;;Joakim Sørgård;Completed;04/01/2024 03:53 PM;Joakim Sørgård;NO;15/03/2024 02:39 PM;;"Cycling process had halted during "EC fall". The lack of cycling could have a negative effect on the cells' living conditions. A cell debris removal procedure was immediately initiated to relive the instrument and resume the cycling. ELISA analysis show a significant drop in antibody production following this incident. ";"Cells under stressed conditions could potentially produce unwanted survival compounds or suffer unwanted mutations. However it is very unlikely that the product is affected from this non-conformance as the ASM had halted cycling for only a short period, within a working day. The cells were still receiving nutrients from medium as the EC and IC medium pumps were not stopped. Harvest 6  was immediately determined not to be impacted as the connected harvest had about 1200 mL crude, and at maximum 4 hours at a pump speed of 7 mL/h would only yield about 28 mL. Also, there is a certain delay in effect on the cells, therefore any impact would not have been applicable to harvest 6. Harvest 7 and 8 were initially placed under quarantine to. As it is concluded that there is no plausible impact to the product, quarantine of these harvests can be lifted and used for downstream processing.  Enough products have been produced for the first delivery without any change in the production plan. The second and third delivery will need to have a new production started. This has an economical impact as a new production flowpath unit would be required. ";"Buildup of cellular debris within the central pipe used for volumetric measurements within the EC.  5 Whys Why did the cellular debris build up within the central pipe?       UCUS 99.05 is known to be a cell line with expansive growth. The EC chamber has been observed to have a considerable amount of cells multiple times through the production run leading to multiple cell debris removal procedures.  Was one of these removal procedures done before this NC?     A cell removal procedure was planned to be performed following work day 05.01.2024 due to the increase in cellular debris.  Why was this removal procedure not done sooner?                 The cell removal procedure will remove both living and dead cells from the system, as well as stopping the cycling for the entire process. It is a stressing process in itself and usually lead to reduced productivity until the cells recover. It is hard to establish an exact time cell removal procedures should be executed as the effect of cell debris buildup can vary from cell lines and how the debris is building up. The primary issue in this case was the cell debris inside the central pipe which is difficult to assess.  Why is the central pipe more difficult?                                         The central pipe has a small opening at the bottom floor of the EC chamber. The EC removal procedure described in SOP0060 v. 3.0 section 9.27 is unable to fully clear the contents of the central pipe due to its position and enclosed construction.  Why does the central pipe have such a high impact?                  Cellular debris inside the central pipe will prevent the Maximizer from accurately assess how much volume is inside the EC chamber, which in turn will stop or hinder effective cycling as the cycling pattern is purely based on the volume of the EC chamber.  Operations Manual for AcuSyst Maximizer propose that the default transfer volume to the EC chamber should gradually be increased to 140 mL for productions with two BRX, unless metabolic activity is low. The standard for productions at Curida Diatec is two BRX, yet this optimization has not been followed. This optimisation is anchored in CAPA219.";"Lack of efficient medium cycling can cause a buildup of dead cells, debris, and cellular waste in the BRX. This could hamper growth and productivity, which in turn could impact production timeline and possible product quality. ";True;;;
238;"Yearly calibration not performed for cold room DIA283 within deadline";Low risk;;Suyog Basnet;Completed;05/01/2024 08:53 AM;Suyog Basnet;YES;01/07/2024 09:21 AM;;"Annual service of cold room was delayed by a few weeks as responsibilities were unclear and overview excel sheet was incorrectly updated.";"The temperature in the cold room DIA283, is continuously monitored by two Sirius temperature sensors in our monitoring system Sirius. Two sensors measure the area with high and low temperature in the cold room. The temperature recordings from Sirius monitoring system shows that the temperature has been within the acceptance limit (Ref. Attachment 2- Sirius), even though the maintenance was not performed within the deadline. There have been no incidents relating to the abnormal temperature since installation. In addition, environment monitoring of cold room is performed every week according to SOP1076 version 3.0. The environmnet in the cold room was within the required microbial limit during this period showing no issues with the cold room's environment either (Ref: Attachment 3- Environment monitoring). Therefore this non-conformance did not impact the cold room environment or product quality.";"True root cause was determined to be unclear responsibility due to organisational changes. A contributing factor was that the service date on excel sheet with overview of instrument was accidently changed to NA instead of service date. This moves the instrument on the bottom of the list together with unused instruments and operators do not get notified for deadline. ";"The yearly service is performed to ensure the instrument is working optimally. Temperature monitored by Sirius monitoring system showed that the cold room maintained temperature within the specified threshold during the period. Therefore this had no impact on product quality.";;;;
239;"Documentation for maintenance of refrigerators (minibar) connected to ASM units not performed";Low risk;;Suyog Basnet;Completed;05/01/2024 01:49 PM;Suyog Basnet;YES;15/03/2024 01:33 PM;;"The operators working with ASM have been performing the cleaning procedure but did not think about the documentation of the cleaning in the proper control form. The control form for the refrigerator is also together with analysis lab's instrument. It was not quite obvious and easy to remember for the operators to notice it in the folder. ";"The incident impact the documentation system of refrigerators. The refrigerators were cleaned after every batches with ethanol and is documented in DOC0060.4. But documentation for cleaning routine for refrigerators before starting of ASM batch is not documented. Even though the documentation was missing for the refrigerators, the operators working with ASM has confirmed following the SOP and performing the cleaning procedure. The operators follow the usual routine for wash of refrigerators for the refrigerators connected to ASM as well. Since the documentation is not availabe, there remains a possibility that the cleaning routine was not followed all of the time. However, if the refrigerators had not been cleaned for more than a year even though in use, there is a risk for some incident related to possible infection. No NCs related to possible infection has been registered for the refrigerators connected to ASM. So, it can be justified that the impact of this NC on production batches is low. ";"SOP0060 does not refer to the proper documentation of cleaning of refrigerator. The DOC that should be followed to register cleaning of minibar are not directly related to ASM. Other instrument worksheet like ASM (DOC0060.6), and pH probe (DOC0060.5) have document number similar to ASM SOP (SOP0060). Only Doc4045.3 is not placed together with other worksheet related to ASM. DOC4043.3 is placed in Analysis lab in the same folder as the other documents for instruments in Analysis lab.  The operators involved in the process for starting of ASM are also trained in cleaning of refrigerators. Starting of ASM is a relatively long process and requires SOP0060 and user manual for ASM to perform this process. Though SOP0060 mentioned to follow SOP4045 for cleaning of refrigerators, the operators performed the cleaning based upon their experience on cleaning of refrigerator instead of actively using SOP4045 while performing cleaning. So, the operators only followed the worksheets that were directly linked to SOP0060 and missed registration of minibars in DOC4045.3 as the opertors did not actively follow the SOP but performed the task based on experience. ";"The non-conformance does not have impact on the product or the instrument itself. The maintenance procedure were followed but not documented, thus will have low risk. The fridges keep harvest medium and harvested crude, and we have seen no infection in either of these during these productions.";;;;
240;"ELISA QC test for mAb12 batch B8749 failed";Low risk;;;Completed;08/01/2024 09:04 AM;Gro Stokke;NO;10/01/2024 05:18 PM;;;;;"As both reference batch and sample to be tested failed, this was identified as a technical issue. Analysis was repeated successfully with another vial, containing a proven functioning lot of coat. No impact to product quality or timelines.";;;;True
241;"CL1000 harvest froze inside refrigerator";Low risk;;;Completed;08/01/2024 10:23 AM;Joakim Sørgård;NO;11/03/2024 05:32 PM;;;;;"Lower temperature works as a preservative for antibodies. There is no impact to the product quality from freezing the crude harvest. ";;;;
242;"Concentration of vialled product below the required specification";High risk;;Suyog Basnet;Completed;08/01/2024 12:19 PM;Suyog Basnet;NO;04/04/2024 03:27 PM;;"During OD adjustment, priming of cuvette is not performed after addition of small volume of buffer when the mesurement is performed several times before the final measurement. In addition, the blank set on spectrophotometer for measurement of bulk product and aliquotated product was different.  ";"Due to the incident described in this incident, the product had to be kept on "Quarantine". To release the product, customers approval for upconcentrating the product is required. The incident was consulted with customers and it was decided to upconcentrate the product. Thus, the concentration of the product was adjusted as required according to SOP0070 (Ref. Attachment- 3). This impacted the timeline for the delivery of product.  The OD range for the product is quite low and a small inaccuracy can lead to out of specification of the product. So, the sales team in Curida Diatec is discussing with the customer to broaden the OD window or to allow up-concentration of product without approval whenever the concentration becomes too low as we see this as a recurrent problem to a sensitive procedure. ";"Inadequate mixing: The acceptable OD range for the product is quite small. When the operator adjusted the OD for bulk it was found to be within range but not after aliquotation. This could be due to inadequate mixing of the bulk solution. The operator performing the vialing process has a good experience working with the volume of bulk prepared in this vialing i.e. almost 5 liters, but the chances of inadequate mixing still remains.  Blank measurement: Measurement of blank can have small impact on setting the baseline for OD measurement. The OD criteria for this product has a narrow range and a small impact on the baseline could impact the final result. Setting of blank was performed a few times in addition to repeat the OD measurement but the result was below the specification regardless. Since the OD range for the product is quite small, a small change in blank can invalidate the results for product. This could be a major cause as similar non-conformance is reported previously as well (Ref. OOSR021 in attachment 2). Inadequate priming: After addition of small volume of buffer, priming is not always performed. This is because the minor residue left over in the cuvette will affect the new reading of very little after very little additional buffer is added. This is, however, a possible root cause and the operaor will be more careful during this step in the future to always prime well before the last readings. This has since been brought up and discussed between all operators performing this procedure.";"Non-compliance of final product with product specification";True;;;
243;"Error in collection in non-conformance flow";High risk;;Anna Huk;Completed;11/01/2024 07:54 PM;Anna Huk;NO;07/03/2024 10:23 AM;;"The NC record step 7 of workflow 9 was programmed so that all employees assigned to the "QA team" function execute the step. This was discovered when an additional employee was assigned to that function group. The collection setting was corrected for workflow 9.";"There was no impact on product quality, all NC reports (batch disposition) were written and approved correctly, and no information was lost or changed.  The NC workflow 9 was replaced with workflow 10 in 2023, which was also inspected, and no similar error was detected in the workflow setting. ";"The incorrect setting of the NC collection workflow was discovered. The collection was validated according to the protocol VP2021-224 BizzMine Software Validation testing, but those parts of the collection setting were outside the validation scope.  The error in the collection setting was probably due to a lack of operator experience in programming and testing eQMS software. All personnel involved in the first phase of QMS implementation received training. However, an error was overlooked due to a lack of experience from the personnel who executed testing. Several collections in BizzMine were implemented in 2022-2023 according to the established validation protocol template DOC5048.1, and a similar error was not observed.  This collection workflow is no longer in use, and all NCs are currently recorded in workflow 10, which does not have a similar error. ";"There was no impact on product quality, all NC reports (batch disposition) were written and approved correctly, and no information was lost or changed.  Potential impact on the validation status of the BizzMine Nonconformance collection. There was no impact on compliance with ISO9001 standards or customer agreements, and all NC approvals were executed correctly. ";;;;
244;"Incorrect gowning by external service provider (Pingvin klima AS) and lack of training by FEU";Low risk;;Maya Hjornevik;Completed;17/01/2024 08:33 AM;Maya Hjornevik;NO;10/06/2024 10:34 AM;;;;"";"This non-conformance is low risk, as it does not affect the validation state of equipment/process/system, product or documents. No impact on product quality or business.";;;;
245;"Flushing of drain system not performed in time";Low risk;;;Completed;19/01/2024 11:21 AM;Joakim Sørgård;NO;13/02/2024 06:54 PM;;;;;"No production connected to drain was running at the time of non-conformance. This NC has no impact to any product, nor any production timeline. ";;;;
246;"Failed QC ELISA- OD below acceptance criteria";Low risk;;Suyog Basnet;Completed;25/01/2024 04:12 PM;Suyog Basnet;YES;14/02/2024 10:13 AM;;"The operator made an unusual observation from the ELISA washer which seemed that the washing step stopped before it was complete. ";"The deviation led to invalid result. The ELISA test had to be repeated and was successful (Ref. Attachment- 2). ";"While performing the test for batch B8782, the O.D. values observed was below the acceptance criteria for both the sample (product) and positive control (standard) (ref. Attachment-1). Since O.D. for both the sample and positive control was below the acceptance criteria, the result indicates the failure of experiment performed. During ELISA, there are several steps that can lead to failure in the process. These steps include, use of wrong reagents, calculation failure, insufficient incubation time during steps or improper pipeting. - Calculation failure: The calculation performed to dilute the samples (test and control) were checked and confirmed to be correct. So the chances of calculation error can be opted out. - Procedure: The procedure was performed according to the valid version of SOP. The operator (SBA) is trained in this procedure and has performed ELISA several times.  - Reagents: The reagents used are registered in the worksheet and were rechecked. It was confirmed that correct reagents were used.  - Pipeting error: Duplicates of both test and control samples in the experiment were not precicely comparable, but ok enough. The operator (SBA) who performed this test has a good experience with pipeting and ELISA. Nevertheless, the possibility for pipeting error can not be neglected.  - Unsual observation: The operator observed that the washing step after the blocking step was not complete or unusual as described in the investigation step. As seen in the result, the blocking step had most likely led to false negative signal due to masking of antigen-antibody reaction.  Thus, the possiblity of the result obtained from this experiment seems due to the wash step although there is a little possibility of pipeting error from the operator as well.   Since it was a random event that occurred with the ELISA washer once, the incident is considered as a one-time event and no corrective action is performed for now. ";"The non-conformance is classified as low risk as the analysis was repeated without irregularities and passed the QC test. This does not have an impact on the product quality or timeline.";;;;True
247;"Introduction program was executed incorrectly for interns";Low risk;;Anna Huk;Completed;29/01/2024 01:37 PM;Anna Huk;NO;05/02/2024 09:50 AM;;"The interns who executed their internship at Diatec during Q1-Q2 2023 had not completed the Introduction Training Program. 4 interns missed 3-4 obligatory modules, mostly due to lack of time to execute.";"No impact on product quality, students were not involved directly in any production activities, which could impact the finished product quality.  No impact on validating the status of equipment. There is no impact on compliance with ISO9001:2015 standard or any customer agreement. No impact on employee safety, as all interns received HSE training. The intern mainly missed the Introduction to Production/sales/Logistics/company module, which is just a presentation of different departments and department operations. ";"The introduction program is too comprehensive and unsuitable for students doing internships at the Curida Diatec. The internship is usually not longer than 12 weeks and approx 10 hours per week.  What is more, the direct manager of interns did not follow up on training or provide feedback on difficulties in completing this program in the defined time period. ";"No impact on product quality, students were not involved directly in any production activities, which could impact the finished product quality. No impact on employee safety, as all interns received HSE training. No impact on validating the status of equipment. There is no impact on compliance with ISO9001:2015 standard or any agreement with the customers.";;;;
248;"Performed non-reduced SDS analysis of NGAL 1-903-430 (B8783-85) and NGAL 1-2322-455 (B8786-88)";Low risk;;;Completed;30/01/2024 01:57 PM;Gro Stokke;NO;15/02/2024 03:38 PM;;;;;"No impact on product quality or production timelines as the analysis was immediately repeated under correct conditions, and analysis was successful.";;;;True
249;"Particle observed inside B8698 CL1000";Low risk;;;Completed;30/01/2024 03:59 PM;Elias Veidal;NO;02/02/2024 02:35 PM;;;;;"No infection observed throughout the production. Therefore the particle can be considered sterile. No structural deterioration to the CL1000 could be identified. Therefore, production proceeded as expected. further processing of crude ensures that particle is not carried into the final product. this non-conformance is not considered to have an impact on production timeline or product quality.";;;;
250;"Suspected contamination in production for CL1000 due to leakage";High risk;;Joakim Sørgård;Completed;31/01/2024 02:16 PM;Joakim Sørgård;NO;04/03/2024 07:54 PM;;"Infected prodution unit was identified to be noticably leaking from the outer medium chamber. Samples sent to QC Services confirmed microbial contamination.";"1A12/1/4 are produced on forecast to stock storage. This non conformance does therefore not have any impact on production timeline for this product.  The previous harvest of the affected unit was tested for contamination and confirmed free thereof. The unit was not harvested the day contamination was discovered, therefore there is no impact to any product. ";"Leakage from the outer chamber of the CL1000 could be seen when the unit was taken out of cleanroom for inspection. No antibiotics are used in this production, so if the medium of the bioreactor is exposed to the outside through a leak it will increase chances of contamination considerably. This is believed to be the most probable cause of this contamination. Operator SBA, who harvested the unit during harvest 2 (29.01.2024), explains that he did not note anything different during the handling of the flask that day. ";"This would in one sense be the fourth reoccurrence within 1 year, however, NC205 and NC201 are tied to the same time and event.  CL1000 unit had to be removed from production and discarded early in the production run (after H3), which lead to a big loss in crude. ";True;True;;
251;"Responsibility for communication of change notification missing";Low risk;;;Completed;31/01/2024 04:57 PM;Trine Olsen;NO;07/03/2024 11:01 AM;;;;;"In practice, the process of communication with the customer is defined. However, the responsibilities are not stated in the SOP";;;;
252;"Secondary ladder spread out during Western Blot Analysis";Low risk;;;Completed;05/02/2024 11:11 AM;Joakim Sørgård;NO;11/03/2024 05:06 PM;;;;;"Only one ladder is needed to see that the gel electrophoresis was successful. The secondary ladder is primarily used as a practical tool to separate the gel in two sections (one side with known positive control and one for sample being tested). The analysis is based on antigen reactivity, of which the ladder is not. The spread of the secondary ladder does thus not impact the samples, nor the validity of the QC analysis. ";;;;
